queue_order,job_id,cycle_id,release_state,queue_status,machine_id,seed_id,training_seed,logical_run_id,logical_arm_id,schedule_id,job_kind,segment_index,segment_start_epoch,segment_end_epoch,normal_replay_slots,defect_guard_slots,total_replay_slots,expected_steps_batch128,selection_pool_id,selection_pool_digest,active_selection_template_id,active_selection_template_relpath,active_selection_template_sha256,active_selection_digest,active_selection_rows,monitor_manifest_relpath,monitor_manifest_sha256,canonical_lock_relpath,canonical_lock_file_sha256,dependency_job_id,dependency_output_relpath,resume_from_epoch,branch_checkpoint_required,run_output_relpath,machine_output_relpath,checkpoint_epochs_to_retain,planned_epoch_equivalents
7,JOB_S001_RHO_2P5_PERCENT_SHARED_PREFIX_SHARED_RHO_2P5_PERCENT_CONTINUOUS_TAPER_PREFIX_E001_140,CYCLE_1,ENGINEERING_GATE,HELD_ENGINEERING_GATE,M03,S001,775599971,CYCLE_1_S001_SHARED_RHO_2P5_PERCENT_CONTINUOUS_TAPER_PREFIX,SHARED_RHO_2P5_PERCENT_CONTINUOUS_TAPER_PREFIX,SHARED_RHO_2P5_PERCENT_CONTINUOUS_TAPER_PREFIX,SHARED_TREATMENT_PREFIX,1,1,140,3000,0,3000,961,TREATMENT_GAPCRITICAL_NESTED,BF70893E2D72577C1E86D4C85416BBBA809815D7A230395F76294BF2458A0A2D,TPL_TREATMENT_GAPCRITICAL_NESTED_N03000_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N03000_D00000.csv,877DA825A8E3EA4752F05CFA332FB73C23A1C88883FB0F2513C3208F4A109BEA,08E3BAED3FD71A62AFBA68798C4418A310350C18ECE318889B7BF49286BE52C3,3000,monitor/CAUSAL_MONITOR_SAMPLES.csv,B14343E2140730A5A1D1446A71C6C2081AFF3603E83CA7B41164973DD45937B9,contracts/CANONICAL_TRAINING_LOCK_v1.json,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E,,,0,False,../05_training_runs/CYCLE_1_S001_SHARED_RHO_2P5_PERCENT_CONTINUOUS_TAPER_PREFIX,dynamic_replay_budget_efficiency_20260807/05_training_runs/CYCLE_1_S001_SHARED_RHO_2P5_PERCENT_CONTINUOUS_TAPER_PREFIX,120;140,140.0
13,JOB_S002_RHO_2P5_PERCENT_DOSE_MATCHED_TAPER_C2_T_RHO_2P5_DOSE_MATCHED_TAPER_E001_140,CYCLE_2,HELD,HELD_SCIENTIFIC_GATE,M03,S002,982248093,CYCLE_2_S002_C2_T_RHO_2P5_DOSE_MATCHED_TAPER,C2_T_RHO_2P5_DOSE_MATCHED_TAPER,CYCLE_2__RHO_2P5_PERCENT__DOSE_MATCHED_TAPER__NONE__G0PCT,ARM_SEGMENT,1,1,140,4000,0,4000,969,TREATMENT_GAPCRITICAL_NESTED,BF70893E2D72577C1E86D4C85416BBBA809815D7A230395F76294BF2458A0A2D,TPL_TREATMENT_GAPCRITICAL_NESTED_N04000_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N04000_D00000.csv,C876462DB95F21948F8B04A06E40E297B1ED6246C38D538EF6B179D960A48FF9,37B77B658CFEAEB3D0F1C5F746338FE177F684C8B9B3A3F70F555810A14AF0A8,4000,monitor/CAUSAL_MONITOR_SAMPLES.csv,B14343E2140730A5A1D1446A71C6C2081AFF3603E83CA7B41164973DD45937B9,contracts/CANONICAL_TRAINING_LOCK_v1.json,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E,,,0,False,../05_training_runs/CYCLE_2_S002_C2_T_RHO_2P5_DOSE_MATCHED_TAPER,dynamic_replay_budget_efficiency_20260807/05_training_runs/CYCLE_2_S002_C2_T_RHO_2P5_DOSE_MATCHED_TAPER,120;140,140.0
26,JOB_S004_RHO_1P0_PERCENT_SHARED_PREFIX_SHARED_RHO_1P0_PERCENT_CONTINUOUS_TAPER_PREFIX_E001_140,CYCLE_2,HELD,HELD_SCIENTIFIC_GATE,M03,S004,1710119176,CYCLE_2_S004_SHARED_RHO_1P0_PERCENT_CONTINUOUS_TAPER_PREFIX,SHARED_RHO_1P0_PERCENT_CONTINUOUS_TAPER_PREFIX,SHARED_RHO_1P0_PERCENT_CONTINUOUS_TAPER_PREFIX,SHARED_TREATMENT_PREFIX,1,1,140,1200,0,1200,947,TREATMENT_GAPCRITICAL_NESTED,BF70893E2D72577C1E86D4C85416BBBA809815D7A230395F76294BF2458A0A2D,TPL_TREATMENT_GAPCRITICAL_NESTED_N01200_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N01200_D00000.csv,282D2099A5BB80E0F5B504C18575773CE5B822B9408B3A8E80A4944D570BB854,B55EA138794A18ADC65B13DE435C4BE5D2DB32092208A2F2947844D9AE8E9196,1200,monitor/CAUSAL_MONITOR_SAMPLES.csv,B14343E2140730A5A1D1446A71C6C2081AFF3603E83CA7B41164973DD45937B9,contracts/CANONICAL_TRAINING_LOCK_v1.json,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E,,,0,False,../05_training_runs/CYCLE_2_S004_SHARED_RHO_1P0_PERCENT_CONTINUOUS_TAPER_PREFIX,dynamic_replay_budget_efficiency_20260807/05_training_runs/CYCLE_2_S004_SHARED_RHO_1P0_PERCENT_CONTINUOUS_TAPER_PREFIX,120;140,140.0
32,JOB_S005_RHO_1P0_PERCENT_DOSE_MATCHED_TAPER_C2_T_RHO_1P0_DOSE_MATCHED_TAPER_E001_140,CYCLE_2,HELD,HELD_SCIENTIFIC_GATE,M03,S005,1136302086,CYCLE_2_S005_C2_T_RHO_1P0_DOSE_MATCHED_TAPER,C2_T_RHO_1P0_DOSE_MATCHED_TAPER,CYCLE_2__RHO_1P0_PERCENT__DOSE_MATCHED_TAPER__NONE__G0PCT,ARM_SEGMENT,1,1,140,1600,0,1600,950,TREATMENT_GAPCRITICAL_NESTED,BF70893E2D72577C1E86D4C85416BBBA809815D7A230395F76294BF2458A0A2D,TPL_TREATMENT_GAPCRITICAL_NESTED_N01600_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N01600_D00000.csv,C85D261A5191FD4DA6ED5DBBA58232226F2089B1F1F03C98422856BC0282971D,21144E1F27B5AA8FA2CB10B0F66F6A56AE17DBC527D5DE9D0183D85AE5AD8AC3,1600,monitor/CAUSAL_MONITOR_SAMPLES.csv,B14343E2140730A5A1D1446A71C6C2081AFF3603E83CA7B41164973DD45937B9,contracts/CANONICAL_TRAINING_LOCK_v1.json,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E,,,0,False,../05_training_runs/CYCLE_2_S005_C2_T_RHO_1P0_DOSE_MATCHED_TAPER,dynamic_replay_budget_efficiency_20260807/05_training_runs/CYCLE_2_S005_C2_T_RHO_1P0_DOSE_MATCHED_TAPER,120;140,140.0
45,JOB_S007_RHO_0P5_PERCENT_SHARED_PREFIX_SHARED_RHO_0P5_PERCENT_CONTINUOUS_TAPER_PREFIX_E001_140,CYCLE_2,HELD,HELD_SCIENTIFIC_GATE,M03,S007,1280388208,CYCLE_2_S007_SHARED_RHO_0P5_PERCENT_CONTINUOUS_TAPER_PREFIX,SHARED_RHO_0P5_PERCENT_CONTINUOUS_TAPER_PREFIX,SHARED_RHO_0P5_PERCENT_CONTINUOUS_TAPER_PREFIX,SHARED_TREATMENT_PREFIX,1,1,140,600,0,600,943,TREATMENT_GAPCRITICAL_NESTED,BF70893E2D72577C1E86D4C85416BBBA809815D7A230395F76294BF2458A0A2D,TPL_TREATMENT_GAPCRITICAL_NESTED_N00600_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N00600_D00000.csv,928D5A4D0A09539F34012161A76F6BF0B975631395DC0C4542BC90F7FF18E0A8,E6C38CE0916169AAAFD67E696BAF4AD6A156BA42C4D4361F3250E757DE9FA83D,600,monitor/CAUSAL_MONITOR_SAMPLES.csv,B14343E2140730A5A1D1446A71C6C2081AFF3603E83CA7B41164973DD45937B9,contracts/CANONICAL_TRAINING_LOCK_v1.json,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E,,,0,False,../05_training_runs/CYCLE_2_S007_SHARED_RHO_0P5_PERCENT_CONTINUOUS_TAPER_PREFIX,dynamic_replay_budget_efficiency_20260807/05_training_runs/CYCLE_2_S007_SHARED_RHO_0P5_PERCENT_CONTINUOUS_TAPER_PREFIX,120;140,140.0
51,JOB_S008_RHO_0P5_PERCENT_DOSE_MATCHED_TAPER_C2_T_RHO_0P5_DOSE_MATCHED_TAPER_E001_140,CYCLE_2,HELD,HELD_SCIENTIFIC_GATE,M03,S008,247474179,CYCLE_2_S008_C2_T_RHO_0P5_DOSE_MATCHED_TAPER,C2_T_RHO_0P5_DOSE_MATCHED_TAPER,CYCLE_2__RHO_0P5_PERCENT__DOSE_MATCHED_TAPER__NONE__G0PCT,ARM_SEGMENT,1,1,140,800,0,800,944,TREATMENT_GAPCRITICAL_NESTED,BF70893E2D72577C1E86D4C85416BBBA809815D7A230395F76294BF2458A0A2D,TPL_TREATMENT_GAPCRITICAL_NESTED_N00800_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N00800_D00000.csv,0C1DB48D84FADB7AC9EAF812707C1FAF32D41D80C7290FF86F3E8F80590821BD,6837EC9FABABB1EC825E3FEF83CEA93478F432977546EEE8C02B59D17A8A44D3,800,monitor/CAUSAL_MONITOR_SAMPLES.csv,B14343E2140730A5A1D1446A71C6C2081AFF3603E83CA7B41164973DD45937B9,contracts/CANONICAL_TRAINING_LOCK_v1.json,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E,,,0,False,../05_training_runs/CYCLE_2_S008_C2_T_RHO_0P5_DOSE_MATCHED_TAPER,dynamic_replay_budget_efficiency_20260807/05_training_runs/CYCLE_2_S008_C2_T_RHO_0P5_DOSE_MATCHED_TAPER,120;140,140.0
64,JOB_S001_RHO_2P5_PERCENT_CONTINUOUS_C1_T_RHO_2P5_CONTINUOUS_E141_150,CYCLE_1,ENGINEERING_GATE,BLOCKED_ENGINEERING_GATE,M03,S001,775599971,CYCLE_1_S001_C1_T_RHO_2P5_CONTINUOUS,C1_T_RHO_2P5_CONTINUOUS,CYCLE_1__RHO_2P5_PERCENT__CONTINUOUS__NONE__G0PCT,ARM_SEGMENT,2,141,150,3000,0,3000,961,TREATMENT_GAPCRITICAL_NESTED,BF70893E2D72577C1E86D4C85416BBBA809815D7A230395F76294BF2458A0A2D,TPL_TREATMENT_GAPCRITICAL_NESTED_N03000_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N03000_D00000.csv,877DA825A8E3EA4752F05CFA332FB73C23A1C88883FB0F2513C3208F4A109BEA,08E3BAED3FD71A62AFBA68798C4418A310350C18ECE318889B7BF49286BE52C3,3000,monitor/CAUSAL_MONITOR_SAMPLES.csv,B14343E2140730A5A1D1446A71C6C2081AFF3603E83CA7B41164973DD45937B9,contracts/CANONICAL_TRAINING_LOCK_v1.json,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E,JOB_S001_RHO_2P5_PERCENT_SHARED_PREFIX_SHARED_RHO_2P5_PERCENT_CONTINUOUS_TAPER_PREFIX_E001_140,../05_training_runs/CYCLE_1_S001_SHARED_RHO_2P5_PERCENT_CONTINUOUS_TAPER_PREFIX,140,True,../05_training_runs/CYCLE_1_S001_C1_T_RHO_2P5_CONTINUOUS,dynamic_replay_budget_efficiency_20260807/05_training_runs/CYCLE_1_S001_C1_T_RHO_2P5_CONTINUOUS,150,10.0
66,JOB_S001_RHO_2P5_PERCENT_SAME_PEAK_TAPER_C1_T_RHO_2P5_SAME_PEAK_TAPER_E141_150,CYCLE_1,ENGINEERING_GATE,BLOCKED_ENGINEERING_GATE,M03,S001,775599971,CYCLE_1_S001_C1_T_RHO_2P5_SAME_PEAK_TAPER,C1_T_RHO_2P5_SAME_PEAK_TAPER,CYCLE_1__RHO_2P5_PERCENT__SAME_PEAK_TAPER__NONE__G0PCT,ARM_SEGMENT,2,141,150,2000,0,2000,954,TREATMENT_GAPCRITICAL_NESTED,BF70893E2D72577C1E86D4C85416BBBA809815D7A230395F76294BF2458A0A2D,TPL_TREATMENT_GAPCRITICAL_NESTED_N02000_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N02000_D00000.csv,A13D97D0D7721F73D1DACA07C643FE697C3C8E07FCAC79541E4C7C949360F263,2656BC7A1676A7A8C67E52CED93AA0330374D663AD22A7D7389F96E224285233,2000,monitor/CAUSAL_MONITOR_SAMPLES.csv,B14343E2140730A5A1D1446A71C6C2081AFF3603E83CA7B41164973DD45937B9,contracts/CANONICAL_TRAINING_LOCK_v1.json,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E,JOB_S001_RHO_2P5_PERCENT_SHARED_PREFIX_SHARED_RHO_2P5_PERCENT_CONTINUOUS_TAPER_PREFIX_E001_140,../05_training_runs/CYCLE_1_S001_SHARED_RHO_2P5_PERCENT_CONTINUOUS_TAPER_PREFIX,140,True,../05_training_runs/CYCLE_1_S001_C1_T_RHO_2P5_SAME_PEAK_TAPER,dynamic_replay_budget_efficiency_20260807/05_training_runs/CYCLE_1_S001_C1_T_RHO_2P5_SAME_PEAK_TAPER,150,10.0
75,JOB_S002_RHO_2P5_PERCENT_DOSE_MATCHED_TAPER_C2_T_RHO_2P5_DOSE_MATCHED_TAPER_E141_150,CYCLE_2,HELD,HELD_SCIENTIFIC_GATE,M03,S002,982248093,CYCLE_2_S002_C2_T_RHO_2P5_DOSE_MATCHED_TAPER,C2_T_RHO_2P5_DOSE_MATCHED_TAPER,CYCLE_2__RHO_2P5_PERCENT__DOSE_MATCHED_TAPER__NONE__G0PCT,ARM_SEGMENT,2,141,150,2667,0,2667,959,TREATMENT_GAPCRITICAL_NESTED,BF70893E2D72577C1E86D4C85416BBBA809815D7A230395F76294BF2458A0A2D,TPL_TREATMENT_GAPCRITICAL_NESTED_N02667_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N02667_D00000.csv,7E3047DBCB8251C573E1F9F26DB1E9A90880B079E6A42CE9252A0BEA2A4CE152,0F7E8D2741778BA8F4E3FF8CF249009E3336DCF0DE57DA5E2F5FF762144F16FC,2667,monitor/CAUSAL_MONITOR_SAMPLES.csv,B14343E2140730A5A1D1446A71C6C2081AFF3603E83CA7B41164973DD45937B9,contracts/CANONICAL_TRAINING_LOCK_v1.json,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E,JOB_S002_RHO_2P5_PERCENT_DOSE_MATCHED_TAPER_C2_T_RHO_2P5_DOSE_MATCHED_TAPER_E001_140,../05_training_runs/CYCLE_2_S002_C2_T_RHO_2P5_DOSE_MATCHED_TAPER,140,True,../05_training_runs/CYCLE_2_S002_C2_T_RHO_2P5_DOSE_MATCHED_TAPER,dynamic_replay_budget_efficiency_20260807/05_training_runs/CYCLE_2_S002_C2_T_RHO_2P5_DOSE_MATCHED_TAPER,150,10.0
91,JOB_S004_RHO_1P0_PERCENT_CONTINUOUS_C2_T_RHO_1P0_CONTINUOUS_E141_150,CYCLE_2,HELD,HELD_SCIENTIFIC_GATE,M03,S004,1710119176,CYCLE_2_S004_C2_T_RHO_1P0_CONTINUOUS,C2_T_RHO_1P0_CONTINUOUS,CYCLE_2__RHO_1P0_PERCENT__CONTINUOUS__NONE__G0PCT,ARM_SEGMENT,2,141,150,1200,0,1200,947,TREATMENT_GAPCRITICAL_NESTED,BF70893E2D72577C1E86D4C85416BBBA809815D7A230395F76294BF2458A0A2D,TPL_TREATMENT_GAPCRITICAL_NESTED_N01200_D00000,templates/TPL_TREATMENT_GAPCRITICAL_NESTED_N01200_D00000.csv,282D2099A5BB80E0F5B504C18575773CE5B822B9408B3A8E80A4944D570BB854,B55EA138794A18ADC65B13DE435C4BE5D2DB32092208A2F2947844D9AE8E9196,1200,monitor/CAUSAL_MONITOR_SAMPLES.csv,B14343E2140730A5A1D1446A71C6C2081AFF3603E83CA7B41164973DD45937B9,contracts/CANONICAL_TRAINING_LOCK_v1.json,7AFD96784F4994903892BD5BA8477396AAF5EFFBFF158A1C57225428BF01F74E,JOB_S004_RHO_1P0_PERCENT_SHARED_PREFIX_SHARED_RHO_1P0_PERCENT_CONTINUOUS_TAPER_PREFIX_E001_140,../05_training_runs/CYCLE_2_S004_SHARED_RHO_1P0_PERCENT_CONTINUOUS_TAPER_PREFIX,140,True,../05_training_runs/CYCLE_2_S004_C2_T_RHO_1P0_CONTINUOUS,dynamic_replay_budget_efficiency_20260807/05_training_runs/CYCLE_2_S004_C2_T_RHO_1P0_CONTINUOUS,150,10.0
